,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
1,AUSTRALIAN BLACKTIP,16/11/2016,Cairns,Holloways Beach,-16°49.82,145°44.85,1,27,November,Wednesday
2,BLACKTIP REEF WHALER,2/1/2016,Cairns,Buchans Point Beach,-16°43.56,145°39.78,0.7,27,January,Saturday
3,BLACKTIP REEF WHALER,2/1/2016,Cairns,Ellis Beach,-16°43.3,145°39.01,1.5,27,January,Saturday
4,BLACKTIP REEF WHALER,5/1/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,2.2,26,January,Tuesday
5,BLACKTIP REEF WHALER,7/1/2016,Mackay,Harbour Beach,-21°7.1,149°13.68,1.7,26,January,Thursday
6,BLACKTIP REEF WHALER,13/1/2016,Cairns,Holloways Beach,-16°49.89,145°44.91,1.2,29,January,Wednesday
7,BLACKTIP REEF WHALER,20/1/2016,Cairns,Palm Cove,-16°44.74,145°40.53,0.75,30,January,Wednesday
8,BLACKTIP REEF WHALER,15/2/2016,Townsville,Alma Bay,-19°9.06,146°52.45,1.2,31,February,Monday
9,BLACKTIP REEF WHALER,22/3/2016,Cairns,Clifton Beach,-16°45.58,145°40.93,0.8,29,March,Tuesday
10,BLACKTIP REEF WHALER,2/4/2016,Cairns,Trinity Beach,-16°46.5,145°41.97,1.3,29,April,Saturday
11,BLACKTIP REEF WHALER,13/4/2016,Cairns,Trinity Beach,-16°46.72,145°42.1,1.6,27,April,Wednesday
12,BLACKTIP REEF WHALER,11/5/2016,Capricorn Coast,Farnborough Beach,-23°7.25,150°45.21,1.05,25,May,Wednesday
13,BLACKTIP REEF WHALER,25/5/2016,Townsville,Nelly Bay,-19°10.05,146°51.21,1.22,23,May,Wednesday
14,BLACKTIP REEF WHALER,28/5/2016,Cairns,Ellis Beach,-16°43.36,145°39.08,0.8,25,May,Saturday
15,BLACKTIP REEF WHALER,11/6/2016,Cairns,Ellis Beach,-16°43.21,145°38.85,1.2,25,June,Saturday
16,BLACKTIP REEF WHALER,27/7/2016,Townsville,Radical Bay,-19°6.51,146°52.63,1.1,24,July,Wednesday
17,BLACKTIP REEF WHALER,29/7/2016,Townsville,The Strand,-19°14.44,146°48.77,1.13,23,July,Friday
18,BLACKTIP REEF WHALER,24/9/2016,Townsville,Florence Bay,-19°7.3,146°53.12,1.25,27,September,Saturday
19,BLACKTIP REEF WHALER,19/10/2016,Cairns,Holloways Beach,-16°49.82,145°44.85,0.85,26,October,Wednesday
20,BLACKTIP REEF WHALER,21/10/2016,Mackay,Harbour Beach,-21°7.08,149°13.62,1.8,25,October,Friday
21,BLACKTIP REEF WHALER,17/12/2016,Gladstone,Tannum Sands,-23°56.91,151°22.9,0.9,27,December,Saturday
22,BULL WHALER,2/1/2016,Gold Coast,Tallebudgera Beach,-28°5.47,153°28.26,2.5,25,January,Saturday
23,BULL WHALER,6/1/2016,Capricorn Coast,Lammermoor Beach,-23°9.16,150°46.2,0.98,27,January,Wednesday
24,BULL WHALER,7/1/2016,Mackay,Bucasia Beach,-21°1.46,149°9.97,2.2,26,January,Thursday
25,BULL WHALER,10/1/2016,Mackay,Eimeo Beach,-21°1.8,149°10.8,2,26,January,Sunday
26,BULL WHALER,12/1/2016,Rainbow Beach,Rainbow Beach,-25°53.92,153°5.87,2.85,25,January,Tuesday
27,BULL WHALER,21/1/2016,Capricorn Coast,Yeppoon,-23°7.58,150°45.28,0.83,27,January,Thursday
